stageId,width,height,timeLimit,difficulty,boardEncoding,nodeMap,cellMap,soft_reward,stageMeta,generatorSeed
1,1,4,60,1,b36w2-rm-v1,01000001,00000000,10,{},0
2,2,4,60,1,b36w2-rm-v1,0102000000000102,0000000000000000,10,{},0
3,3,4,60,1,b36w2-rm-v1,020000000002010000000001,000000000000000000000000,10,{},0
4,4,4,60,1,b36w2-rm-v1,01020000000000000000000200000001,00000000000000000000000000000000,10,{},0
5,4,4,60,1,b36w2-rm-v1,01000300000000030200000000020001,00000000000000000000000000000000,10,{},0
6,5,5,120,1,b36w2-rm-v1,01020003020000000000000003000000000000000000000100,00000000000000000000000000000000000000000000000000,10,{},0
7,5,5,120,1,b36w2-rm-v1,00040003010400000000000000000200010000000003020000,00000000000000000000000000000000000000000000000000,10,{},0
8,5,5,120,1,b36w2-rm-v1,01000000020000030000000004000000040001000302000000,00000000000000000000000000000000000000000000000000,10,{},0
9,5,5,120,1,b36w2-rm-v1,01040000030002000400000000000000010003020000000000,00000000000000000000000000000000000000000000000000,10,{},0
10,5,5,120,1,b36w2-rm-v1,01030000000002040000000000040000000000030000010002,00000000000000000000000000000000000000000000000000,10,{},0
11,6,6,90,1,b36w2-rm-v1,060002000000000000000200000105060003000000000000000004030000010500000400,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},511459351
12,6,6,90,1,b36w2-rm-v1,000002010000020000050300000004000000040000000001000605000003000000000006,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},1459291383
13,6,6,90,1,b36w2-rm-v1,020000000006030702060001000000000000000307040000000000000105000400050000,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},2583403212
14,6,6,90,1,b36w2-rm-v1,070100000000000000070103000300000000040600020500000006000000000000040205,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},615935422
15,6,6,90,1,b36w2-rm-v1,000700000400070002000001020000000100050003000400000000030006000000050600,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},4010848168
16,6,6,90,1,b36w2-rm-v1,000806000000000001060400000100020004080000000500030200030705000000070000,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},4261951469
17,6,6,90,1,b36w2-rm-v1,000600050300000105070000060000010703000000000200000208040000080000000004,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},3500944135
18,6,6,90,1,b36w2-rm-v1,000802000400080100020005010003040000000000000700060300070000000006000500,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},2979371700
19,6,6,90,1,b36w2-rm-v1,000007010003000100000300000704000600090000050006000402000508000900020800,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},258303993
20,6,6,90,1,b36w2-rm-v1,000007010600040702000006000400030100080000000003000800090500000200000905,000000000000000000000000000000000000000000000000000000000000000000000000,15,{},576755117
21,4,4,30,1,b36w2-rm-v1,01000000000000020002000100000000,00000000000001000000010000000000,15,{},347177070
22,5,5,30,1,b36w2-rm-v1,00010200000000000000000002000000000000000100030003,00000000000001010100000000000001000000000000000100,15,{},0
23,5,5,30,1,b36w2-rm-v1,03000000000000000003000000010201000000000002000000,00010000000001000100000000000000000000000100000000,15,{},1879215416
24,5,5,30,1,b36w2-rm-v1,00000004020304000100000000000000010000000003020000,01000000000000010000000100000000000000000000000001,15,{},3758470399
25,6,6,45,1,b36w2-rm-v1,010003000000000000000000040000000000000000000003020000040001000000000200,000000000000000000000001000001000000010000000000000000000000010000000000,20,{},2703981954
26,6,6,45,1,b36w2-rm-v1,000000000005050003000000000200000403000006000000000000000001020604010000,000000000000000100000000000000000000000000000001000000000000000000000000,20,{},2376364536
27,7,7,45,1,b36w2-rm-v1,01030000000006000000000000000000000003000004000000060002050000000000000000040000010000000005020000,00000000000000000000000001000000000000000000010000000000000100000000000000000000000000000000000000,20,{},2376364536
28,7,7,45,1,b36w2-rm-v1,00000400000200010000000000050000000400000006000000000000000001030005000706070002000300000000000000,01000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000,20,{},3246499738
29,7,7,45,1,b36w2-rm-v1,00000600010500030000000000000000030000000000000406000705000200000000020400010007000000000000000000,01010001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000,20,{},4167148134
30,7,7,177,5,b36w2-rm-v1,00000000000002000000000507000000050000030002010300000007060000000000010000000004000000060400000000,01000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000001,30,{},2488129656
31,8,8,45,1,b36w2-rm-v1,00000500010000000003000000000000030000000000010000000002000000060000000006000000000000000204000000000005000000000004000000000000,00000000000001000000000000010000000000010000000000000000000001000100010000000000000000000000000000000000000101000000000000000000,20,{},2471667980
