productId,category,name,grantItemId,grantQuantity,priceSoft,priceIapSku,sortOrder,isEnabled
1,ITEM,Obstacle Remover x1,1,1,50,,1,true
2,ITEM,Obstacle Remover x5,1,5,200,,2,true
3,ITEM,Node Pair Eraser x1,2,1,50,,3,true
4,ITEM,Node Pair Eraser x5,2,5,200,,4,true
5,ITEM,Move Reducer x1,3,1,20,,5,true
6,ITEM,Move Reducer x5,3,5,80,,6,true
7,ITEM,Time Extender x1,4,1,30,,7,true
8,ITEM,Time Extender x5,4,5,120,,8,true
9,BUNDLE,Starter Pack,0,0,0,com.projectlink.bundle.starter,9,true
10,COIN,100 Coins,0,100,0,com.projectlink.coins.100,10,true
11,COIN,300 Coins,0,300,0,com.projectlink.coins.300,11,true
12,COIN,1000 Coins,0,1000,0,com.projectlink.coins.1000,12,true
13,NO_ADS,Remove Ads,0,0,0,com.projectlink.noads,13,true
